libgtk-3-0t64:amd64	3.24.52-0ubuntu1	amd64
libgtk-3-bin	3.24.52-0ubuntu1	amd64
libgtk-3-common	3.24.52-0ubuntu1	all
libgtk-4-1:amd64	4.22.2+ds-1ubuntu1	amd64
libgtk-4-bin	4.22.2+ds-1ubuntu1	amd64
libgtk-4-common	4.22.2+ds-1ubuntu1	all
libgtkmm-3.0-1t64:amd64	3.24.10-2	amd64
libgtkmm-4.0-0:amd64	4.20.0-1build1	amd64
libgudev-1.0-0:amd64	1:238-7build1	amd64
libharfbuzz-subset0:amd64	12.3.2-2	amd64
libharfbuzz0b:amd64	12.3.2-2	amd64
libheif-plugin-aomdec:amd64	1.21.2-3	amd64
libheif-plugin-aomenc:amd64	1.21.2-3	amd64
libheif1:amd64	1.21.2-3	amd64
libhidapi-hidraw0:amd64	0.15.0-2	amd64
libhidapi-libusb0:amd64	0.15.0-2	amd64
libhogweed6t64:amd64	3.10.2-1	amd64
libhtml-form-perl	6.13-1build1	all
libhtml-format-perl	2.16-2	all
libhtml-parser-perl:amd64	3.83-1build1	amd64
libhtml-tagset-perl	3.24-1	all
libhtml-tree-perl	5.07-3	all
libhttp-cookies-perl	6.11-1	all
libhttp-daemon-perl	6.16-1	all
libhttp-date-perl	6.06-1	all
libhttp-message-perl	7.01-1ubuntu1	all
libhttp-negotiate-perl	6.01-2	all
libhwasan0:amd64	16-20260322-1ubuntu1	amd64
libhwy1t64:amd64	1.3.0-2	amd64
libibus-1.0-5:amd64	1.5.34~rc2-1	amd64
libice6:amd64	2:1.1.1-1build1	amd64
libicu78:amd64	78.2-2ubuntu1	amd64
libid3tag0:amd64	0.16.3-4	amd64
libidn12:amd64	1.43-2build1	amd64
libidn2-0:amd64	2.3.8-4build1	amd64
libiec61883-0:amd64	1.2.0-8	amd64
libijs-0.35:amd64	0.35-16	amd64
libimlib2t64:amd64	1.12.6-1	amd64
libimobiledevice-1.0-6:amd64	1.4.0-1build1	amd64
libimobiledevice-glue-1.0-0	1.3.2-2build1	amd64
libinih1:amd64	61-1ubuntu1	amd64
libinput-bin	1.31.1-1	amd64
libinput10:amd64	1.31.1-1	amd64
libinstpatch-1.0-2:amd64	1.1.7-1.1	amd64
libintl-perl	1.37-1	all
libintl-xs-perl	1.37-1	amd64
libio-html-perl	1.004-3	all
libio-socket-ssl-perl	2.098-1	all
libio-stringy-perl	2.113-2	all
libipc-system-simple-perl	1.30-2	all
libisl23:amd64	0.27-1build1	amd64
libisns0t64:amd64	0.101-2.1	amd64
libitm1:amd64	16-20260322-1ubuntu1	amd64
libixml11t64:amd64	1:1.14.25-1ubuntu1	amd64
libjack-jackd2-0:amd64	1.9.22~dfsg-5build1	amd64
libjansson4:amd64	2.14-2build4	amd64
libjbig0:amd64	2.1-6.1ubuntu3	amd64
libjbig2dec0:amd64	0.20-1build4	amd64
libjemalloc2:amd64	5.3.0-4	amd64
libjpeg-turbo8:amd64	2.1.5-4ubuntu4	amd64
libjpeg8:amd64	8c-2ubuntu12	amd64
libjq1:amd64	1.8.1-4ubuntu2	amd64
libjs-sphinxdoc	8.2.3-12	all
libjson-c5:amd64	0.18+ds-3	amd64
libjson-glib-1.0-0:amd64	1.10.8+ds-2	amd64
libjson-glib-1.0-common	1.10.8+ds-2	all
libjsoncpp26:amd64	1.9.6-5	amd64
libjxl0.11:amd64	0.11.1-6ubuntu4	amd64
libk5crypto3:amd64	1.22.1-2ubuntu4	amd64
libkate1:amd64	0.4.1-12	amd64
libkeyutils1:amd64	1.6.3-6ubuntu3	amd64
